varied_param,umax,N,Ne,tau,computation_time,arrival_time,penalty_start,penalty_end,penalty_rate,successful,stuck_near_end,map
umax,0.5,30,3,0.5,27.294000148773193,267,40.50461874982427,0.006118528111821152,0.45503932833384775,True,False,easy_map_sa
umax,1.0,30,3,0.5,17.60415482521057,126,33.817616822646194,0.005981459394935189,0.805038937220268,True,False,easy_map_sa
umax,1.5,30,3,0.5,18.86249351501465,102,24.983693304470147,0.006171290063043474,0.7346330004237384,True,False,easy_map_sa
umax,2.0,30,3,0.5,18.771469831466675,96,19.15226971925413,0.005679802640418746,0.5983309348941784,True,False,easy_map_sa
umax,0.5,30,3,0.5,33.295299768447876,252,40.14728907831124,0.0055979072999171224,0.47787727584537293,True,False,baseline_map_sa
umax,1.0,30,3,0.5,26.756838083267212,126,30.332053333333295,0.006241566086499497,0.7220431373153999,True,False,baseline_map_sa
umax,1.5,30,3,0.5,24.35948872566223,102,23.96766671931836,0.006243371670838517,0.7047477455190447,True,False,baseline_map_sa
umax,2.0,30,3,0.5,26.764599084854126,96,16.533101831621543,0.005415577816026335,0.5164901954314224,True,False,baseline_map_sa
umax,0.5,30,3,0.5,48.85993671417236,246,39.08485319628837,0.0055599576549396346,0.4765767468126028,True,False,hard_map_sa
umax,1.0,30,3,0.5,39.68873453140259,129,33.231796984695265,0.0063933659752171195,0.7726838050865128,True,False,hard_map_sa
umax,1.5,30,3,0.5,41.748557329177856,105,24.828289467646286,0.006133571840654971,0.7092044541658752,True,False,hard_map_sa
umax,2.0,30,3,0.5,53.147958517074585,96,22.683518492147904,0.006478960721400481,0.7086574853570783,True,False,hard_map_sa
